,title,price
113,ฟิล์ม Fuji C200 24 / 36 รูป 135 35mm Fujifilm ISO 200 ฟูจิ ฟิล์มสี กล้องฟิล์ม ฟิล์มกล้อง,฿618.00
114,กล้องฟิล์ม กันน้ำ 💦 กล้อง lomo housing กันน้ำ กล้องกันน้ำ กล้องฟิล์มน่ารัก กล้องป๊อกแป๊ก กล้องทอยกันน้ำ เที่ยวทะเล,฿488.00
115,ขายกล้องฟิล์ม Minolta a303si Body Only Serial 94619138,฿500.00
116,[กรุงเทพฯ ด่วน 1 ชั่วโมง] Fujifilm Instax Mini 9 กล้องโพลารอยด์ Instant Film Camera ประกันศูนย์ 1 ปี,"฿2,980.00"
117,Tomy Printoss เครื่องพิมพ์ภาพถ่ายโพลารอยด์จากมือถือ ไม่ต้องใช้แบตเตอรี่ สั่งพิมพ์แล้วได้ทันที,฿990.00
118,Fujifilm Instax Mini 40 Instant Film Camera กล้องฟิล์ม - ประกันศูนย์เเถมฟรี ฟิล์มขาว 1 กล่อง,"฿3,290.00"
119,ขายกล้องฟิล์ม Minolta a5xi serial 60302473 Body Only,฿900.00
120,✺พร้อมส่งกล้องฟิล์มใช้แล้วทิ้ง Kodak DayLight iso800รุ่น39ภาพรุ่น27ภาพ♜,฿697.00
121,Polaroid GO -White กล้องโพลารอยด์ที่เล็กที่สุดในโลก ประกันศูนย์ไทย,"฿5,190.00"
122,AgfaPhoto Analog 35mm Reusable - กล้องฟิล์ม  by CameraOutlet (สินค้ารับประกันศูนย์),"฿1,390.00"
123,ปลั๊กแปลงไฟบ้านเป็นไฟรถ 220V AC to 12V DC Car  Lighter Wall Power,฿60.00
124,ขายกล้องฟิล์ม Pentax Spotmatic สุดยอดแห่งความ Classic ทนทาน ใช้ง่าย ถ่ายรูปสวย พร้อมเลนส์ Takumar 55mm F1.8,"฿6,800.00"
125,กล้องโพลาลอยด์ Instax mini9 กล้องอินสแตนท์ Instax mini9 ประกันศูนย์ฟูจิฟิล์มไทยแลน์ 1 ปี ส่งด่วนทัก,"฿3,590.00"
126,กล้องดิจิตอล Lecran FHD 1080P กล้องบล็อก 36 ล้านพิกเซลพร้อมจอ LCD ดิจิตอลซูม 16 เท่า,"฿1,799.00"
127,ขายกล้องฟิล์ม Minolta a5xi serial 60302473 พร้อมเลนส์ Tokina 28-210m F3.5-5.6,"฿4,800.00"
128,กล้องโพลารอยด์ Fujifilm Instax Mini 9 หลากหลายสี กดถ่ายปุ๊ปได้รูปทันที! ขนาดกะทัดรัด มาพร้อมแฟลชและช่องมองภาพในตัว กล้อง fuji กล้องฟิล์ม กล้อง instax กล้อง polaroid กล้อง ฟูจิ กล้อง instax mini 9 กล้องโพลารอยด์ fujifilm instax mini 9 ราคาถูก ของแท้100%,"฿1,990.00"
129,ขาย กล้องฟิล์ม Minolta a303si Serial 94712451,฿500.00
130,ขายกล้องฟิล์ม Pentax Z-10 Body Only Serial 6117308,"฿2,500.00"
131,ขายกล้องฟิล์ม Minolta a7000 serial 13207356 สำหรับตั้งโชว์,฿490.00
132,✳ กล้องฟิล์ม ฟรีถ่าน พร้อมส่ง ของแท้ Vibe Photo 501F สีเงินแชมเปญ ใส่ฟิล์มอีกได้ ใช้ฟิล์ม 135 (ไม่ได้แถมฟิล์ม)♕,฿817.00
133,ขายกล้องฟิล์ม Minolta a7xi  Serial 21125679 พร้อมเลนส์ 28-200mm,"฿4,300.00"
134,ขายกล้องฟิล์ม Pentax Spotmatic SL สุดยอดแห่งความ Classic ทนทาน ใช้ง่าย ถ่ายรูปสวย Body Only Serial 3055361,"฿3,000.00"
135,[ Auftag ]  กล้องKodak M35 📷 กล้องฟิล์ม พร้อมส่งจากกรุงเทพ ถามสี ทักแชท,฿770.00
136,ขายกล้องฟิล์ม Minolta a7700i Body Only Serial 19114600,"฿1,900.00"
137,ขาย กล้องฟิล์ม Pentax MZ-5 Serial 7219135,฿500.00
138,กล้องฟิล์ม Topicoสีเหลือง (Panorama),฿590.00
139,ขาย กล้องฟิล์ม Ricoh XR7  Serial 62250008,฿700.00
140,Kodak Agfa Fuji กล้องฟิล์ม เปลี่ยนฟิล์มได้ M35 M38 F9 / กล้องใช้แล้วทิ้ง Film Camera กล้อง ฟิล์ม โกดัก ฟูจิ 135 35 mm...,฿640.00
141,ขายกล้องฟิล์ม Canon EF (Serial 283929) สภาพสวย สมญานาม The Black Beauty,"฿3,500.00"
142,ขายกล้องฟิล์ม Minolta a5000 Serial 15114178,฿500.00
143,ขาย กล้องฟิล์ม Minolta A7000 Serial 12010050,฿500.00
144,ฟิล์มสี 135mm Film kodak colorplus,฿536.00
145,ขายกล้องฟิล์ม Minolta a7000  Serial 35101394 พร้อมเลนส์ Minolta 100-300mm,"฿4,300.00"
146,Agfa LeBox Flash 27 Exp. ISO 400 | disposable camera with flash! | Disposable Camera Agfa LeBox Flash,฿890.00
147,กล้องโพลารอยด์ กล้องฟิล์ม กล้องถ่ายรูปเด็ก กล้องเด็ก กล้องพกพา กล้องมินิ กล้องจิ๋ว กล้องวีดิโอ B.DUCK Little Yellow Duck,"฿1,666.00"
148,ขายกล้องฟิล์ม Minolta A7000 Serial  17035608,฿500.00
149,กล้อง กล้องฟิล์ม กล้องฟูจิ fujifilm กล้องจิ๋ว กล้องฟูจิ กล้องfuji Simple ACE Camera ISO 400 กล้องฟิล์มใช้แล้วทิ้ง เน้นถ่ายกลางแจ้ง + มีแฟลชในตัวถ่ายได้ 27 รูป ในญี่ปุ่นฮิตมาก สินค้านำเข้าจากญี่ปุ่น ของแท้ 100% goodday8,฿952.00
150,ขายกล้องสำหรับตั้งโชว์ Pentax MZ-10 Serial 7798415,฿600.00
151,ขายกล้องฟิล์ม Minolta a7xi Body Only Serial 21125679,"฿1,500.00"
152,ขายกล้องฟิล์ม Minolta a3700i serial 13102411,฿500.00
153,Printoss พิมพ์ภาพถ่ายโพลารอยด์จากมือถือ ไม่ต้องใช้แบตเตอรี่ สั่งพิมพ์แล้วได้ทันที,฿990.00
154,ขาย กล้องฟิล์ม Minolta A303si Serial 00338085,฿500.00
155,ขาย กล้องฟิล์ม Minolta A7000 Serial 13226842,฿500.00
156,ขายกล้องฟิล์ม Minolta A5700i Serial  22128209,฿500.00
157,ขายกล้องฟิล์ม Minolta A5700i Serial  20138155,฿500.00
158,ขายกล้องฟิล์ม Minolta a7000 serial 11115546 สำหรับตั้งโชว์,฿550.00
159,ส่งฟรี ทุกท้องที่ Lotใหม่ Exp.03/2023 กล้องฟิล์ม ใช้แล้วทิ้ง Fuji film Simple Ace ISO400 -ถ่ายได้ 27 รูป ️,"฿1,758.00"
160,ขายกล้องฟิล์ม Minolta a7000 Serial 16180502 พร้อมเลนส์ Tamron 28-200mm,"฿3,800.00"
161,ขายกล้องฟิล์ม Minolta SR-1 (Serial 1299539),"฿1,700.00"
162,Valeriee Durable Transparent Instant Camera Case Cover for Checky Instax Mini 8/8+/9,฿86.00
163,ขายกล้องฟิล์ม Minolta a7000  Serial 15173472 พร้อมเลนส์ Tokina 75-300mm,"฿5,000.00"
164,ขายกล้องฟิล์ม Minolta a303si serial 01613398 Body Only กล้องฟิล์มถูกๆ สำหรับคนอยากเริ่มถ่ายฟิล์ม,"฿1,900.00"
165,ส่งฟรี ทุกท้องที่ Lowepro Nova 140AW,"฿1,438.00"
166,ขายกล้องฟิล์ม Nikon Nikomat FT สภาพสวย (Serial 3547874),"฿3,200.00"
167,Fujifilm® Instax Mini 11 Instant Camera ฟูจิฟิล์ม กล้องฟิล์ม กล้องฟูจิ กล้องโพลาลอยด์ ฟิล์มอินสแตนท์,"฿3,495.00"
168,ขายกล้องฟิล์ม Minolta Sweet a Body Only Serial 01908087,฿500.00
169,ขายกล้องฟิล์ม Miranda G พร้อมเคสหนังสภาพสวย,"฿2,500.00"
